Index,Name,Type,Group,X [pixels],Y [pixels],Width [pixels],Height [pixels],Z [pixels],,X+width [pixels],Y+height [pixels],,X1 [μm],X2 [μm],Y1 [μm],Y2 [μm],Z [μm]
0,0103-0153-0471,Rectangle,none,454,140,35,26,103,,489,166,,434.4921875,467.9882813,136.71875,162.109375,243.8203125
1,0113-0076-0410,Rectangle,none,391,64,38,25,113,,429,89,,374.1992188,410.5664063,62.5,86.9140625,267.4921875
2,0086-0025-0095,Rectangle,none,81,15,28,21,86,,109,36,,77.51953125,104.3164063,14.6484375,35.15625,203.578125
3,0086-0495-0009,Rectangle,none,0,481,18,28,86,,18,509,,0,17.2265625,469.7265625,497.0703125,203.578125
4,0076-0392-0194,Rectangle,none,183,380,23,24,76,,206,404,,175.1367188,197.1484375,371.09375,394.53125,179.90625
5,0070-0425-0235,Rectangle,none,223,413,24,24,70,,247,437,,213.4179688,236.3867188,403.3203125,426.7578125,165.703125
6,0086-0328-0223,Rectangle,none,212,318,23,21,86,,235,339,,202.890625,224.9023438,310.546875,331.0546875,203.578125
7,0069-0300-0207,Rectangle,none,200,293,14,15,69,,214,308,,191.40625,204.8046875,286.1328125,300.78125,163.3359375
8,0068-0392-0120,Rectangle,none,112,383,16,18,68,,128,401,,107.1875,122.5,374.0234375,391.6015625,160.96875
9,0053-0368-0200,Rectangle,none,189,357,23,22,53,,212,379,,180.8789063,202.890625,348.6328125,370.1171875,125.4609375
10,0128-0342-0246,Rectangle,none,237,333,18,18,128,,255,351,,226.8164063,244.0429688,325.1953125,342.7734375,303
11,0128-0393-0397,Rectangle,none,386,384,23,18,128,,409,402,,369.4140625,391.4257813,375,392.578125,303
12,0054-0178-0467,Rectangle,none,459,172,16,13,54,,475,185,,439.2773438,454.5898438,167.96875,180.6640625,127.828125
13,0058-0057-0163,Rectangle,none,150,47,27,21,58,,177,68,,143.5546875,169.3945313,45.8984375,66.40625,137.296875
14,0128-0361-0031,Rectangle,none,22,353,19,17,128,,41,370,,21.0546875,39.23828125,344.7265625,361.328125,303
15,0128-0356-0009,Rectangle,none,0,345,18,22,128,,18,367,,0,17.2265625,336.9140625,358.3984375,303
16,0121-0004-0093,Rectangle,none,80,0,27,8,121,,107,8,,76.5625,102.4023438,0,7.8125,286.4296875
17,0121-0009-0141,Rectangle,none,123,0,37,18,121,,160,18,,117.7148438,153.125,0,17.578125,286.4296875
18,0008-0010-0141,Rectangle,none,123,0,36,21,8,,159,21,,117.7148438,152.1679688,0,20.5078125,18.9375
19,0115-0279-0406,Rectangle,none,388,266,37,26,115,,425,292,,371.328125,406.7382813,259.765625,285.15625,272.2265625
20,0102-0435-0473,Rectangle,none,453,420,40,30,102,,493,450,,433.5351563,471.8164063,410.15625,439.453125,241.453125
21,0064-0257-0307,Rectangle,none,293,243,28,28,64,,321,271,,280.4101563,307.2070313,237.3046875,264.6484375,151.5
22,0060-0234-0281,Rectangle,none,264,221,34,26,60,,298,247,,252.65625,285.1953125,215.8203125,241.2109375,142.03125
23,0052-0492-0384,Rectangle,none,365,476,39,33,52,,404,509,,349.3164063,386.640625,464.84375,497.0703125,123.09375
24,0052-0372-0273,Rectangle,none,259,360,28,24,52,,287,384,,247.8710938,274.6679688,351.5625,375,123.09375
25,0069-0060-0202,Rectangle,none,185,44,35,30,71,,220,74,,177.0507813,210.546875,42.96875,72.265625,168.0703125
26,0047-0127-0121,Rectangle,none,105,112,32,30,47,,137,142,,100.4882813,131.1132813,109.375,138.671875,111.2578125
27,0047-0213-0281,Rectangle,none,269,200,24,27,47,,293,227,,257.4414063,280.4101563,195.3125,221.6796875,111.2578125
28,0072-0036-0425,Rectangle,none,413,26,25,20,72,,438,46,,395.2539063,419.1796875,25.390625,44.921875,170.4375
29,0038-0409-0289,Rectangle,none,277,397,24,24,38,,301,421,,265.0976563,288.0664063,387.6953125,411.1328125,89.953125
30,0039-0476-0269,Rectangle,none,259,466,20,21,39,,279,487,,247.8710938,267.0117188,455.078125,475.5859375,92.3203125
31,0059-0420-0377,Rectangle,none,370,411,15,18,59,,385,429,,354.1015625,368.4570313,401.3671875,418.9453125,139.6640625
32,0088-0105-0490,Rectangle,none,475,96,30,18,88,,505,114,,454.5898438,483.3007813,93.75,111.328125,208.3125
33,0098-0169-0135,Rectangle,none,122,159,26,21,98,,148,180,,116.7578125,141.640625,155.2734375,175.78125,231.984375
34,0063-0387-0103,Rectangle,none,91,375,24,25,63,,115,400,,87.08984375,110.0585938,366.2109375,390.625,149.1328125
35,0073-0030-0141,Rectangle,none,130,19,22,22,73,,152,41,,124.4140625,145.46875,18.5546875,40.0390625,172.8046875
36,0049-0365-0112,Rectangle,none,105,356,14,19,49,,119,375,,100.4882813,113.8867188,347.65625,366.2109375,115.9921875
37,0123-0006-0092,Rectangle,none,77,0,30,13,123,,107,13,,73.69140625,102.4023438,0,12.6953125,291.1640625
38,0005-0076-0180,Rectangle,none,171,67,19,19,5,,190,86,,163.6523438,181.8359375,65.4296875,83.984375,11.8359375
39,0001-0077-0418,Rectangle,none,406,61,24,33,1,,430,94,,388.5546875,411.5234375,59.5703125,91.796875,2.3671875
40,0038-0059-0279,Rectangle,none,268,50,23,18,38,,291,68,,256.484375,278.4960938,48.828125,66.40625,89.953125
41,0005-0335-0372,Rectangle,none,360,322,25,26,5,,385,348,,344.53125,368.4570313,314.453125,339.84375,11.8359375
42,0054-0379-0418,Rectangle,none,407,369,22,21,54,,429,390,,389.5117188,410.5664063,360.3515625,380.859375,127.828125
43,0066-0023-0279,Rectangle,none,271,15,16,16,66,,287,31,,259.3554688,274.6679688,14.6484375,30.2734375,156.234375
44,0079-0246-0007,Rectangle,none,0,233,15,26,79,,15,259,,0,14.35546875,227.5390625,252.9296875,187.0078125
45,0086-0242-0303,Rectangle,none,293,232,21,21,86,,314,253,,280.4101563,300.5078125,226.5625,247.0703125,203.578125
46,0128-0011-0281,Rectangle,none,273,2,16,18,128,,289,20,,261.2695313,276.5820313,1.953125,19.53125,303
47,0073-0028-0304,Rectangle,none,295,22,18,13,73,,313,35,,282.3242188,299.5507813,21.484375,34.1796875,172.8046875
48,0050-0113-0081,Rectangle,none,68,100,26,27,50,,94,127,,65.078125,89.9609375,97.65625,124.0234375,118.359375
49,0056-0130-0153,Rectangle,none,141,119,24,23,56,,165,142,,134.9414063,157.9101563,116.2109375,138.671875,132.5625
